"wind","wig","wet_dry","heatloss","skin_temp","resistance","clo","amb_temp","amb_rh","radiation","trial"
0.3,"Low_curve","dry","24.613114754098362","38.003442622950821","1.4549583027961743","9.3868277599753185","2.2767213114754101","46.127868852459024","on",1
0.3,"Low_curve","dry","21.7","38.008536585365853","1.660914474514217","10.715577254930432","2.2341463414634153","42.134146341463421","on",2
0.3,"Low_curve","dry","26.827868852459019","38.013606557377052","1.3663242925319781","8.8149954356901805","1.9547540983606551","44.688524590163915","on",3
1,"Low_curve","dry","31.51166666666667","34.005833333333335","0.77756231008574739","5.0165310328112733","9.5516666666666712","42.398333333333333","on",1
1,"Low_curve","dry","26.980645161290322","34.004516129032261","0.90231125816504676","5.8213629559035276","9.6864516129032268","42.40967741935485","on",2
1,"Low_curve","dry","26.1609756097561","34.00292682926829","0.93604981059621373","6.0390310361046051","9.5629268292682941","41.887804878048776","on",3
2.5,"Low_curve","dry","114.58235294117645","33.997647058823532","0.21859065887721402","1.4102623153368645","8.9537254901960779","42.580392156862743","on",1
2.5,"Low_curve","dry","99.091666666666654","33.999333333333333","0.25037396079887198","1.6153158761217548","9.1946666666666665","41.96","on",2
2.5,"Low_curve","dry","102.23902439024391","34.002439024390242","0.24543432709721488","1.5834472715949348","8.9146341463414629","41.77560975609758","on",3
0.3,"Mid_curve","dry","40.704938271604945","38.001604938271598","0.88734156595161395","5.7247842964620252","1.9358024691358027","46.783950617283928","on",1
0.3,"Mid_curve","dry","44.385245901639365","38.001147540983624","0.81615600634864638","5.2655226216041706","1.7914754098360659","42.140983606557363","on",2
0.3,"Mid_curve","dry","40.806451612903231","38.001935483870966","0.88723532597119015","5.7240988772334847","1.8316129032258066","48.177419354838712","on",3
1,"Mid_curve","dry","54.732786885245922","34.001311475409835","0.44642495572089841","2.8801610046509576","9.57950819672131","38.660655737704921","on",1
1,"Mid_curve","dry","48.343902439024397","34.001707317073169","0.50755540718972014","3.2745510141272267","9.4751219512195135","42.309756097560971","on",2
1,"Mid_curve","dry","52.396774193548382","34.001935483870966","0.46861477504076476","3.0233211292952564","9.4564516129032263","42.754838709677408","on",3
2.5,"Mid_curve","dry","126.21666666666668","34.001999999999995","0.19785234854814637","1.2764667648267507","9.0346666666666628","39.463333333333331","on",1
2.5,"Mid_curve","dry","119.11475409836065","34.001639344262294","0.21087847774450752","1.3605063080290807","8.8914754098360635","41.690163934426224","on",2
2.5,"Mid_curve","dry","123.92941176470588","34.005490196078433","0.20301312827797496","1.309762117922419","8.8480392156862742","41.843137254901968","on",3
0.3,"High_curve","dry","84.575409836065575","38.013278688524593","0.42909403629606824","2.7683486212649564","1.7786885245901625","47.36393442622947","on",1
0.3,"High_curve","dry","91.117647058823536","38.000784313725489","0.39946428995380429","2.5771889674438988","1.6070588235294114","42.845098039215692","on",2
0.3,"High_curve","dry","93.351219512195129","38.004390243902435","0.38909912601148705","2.5103169420095939","1.6863414634146339","48.573170731707314","on",3
1,"High_curve","dry","75.488571428571419","33.999420289855074","0.32436363020609915","2.0926685819748334","9.5234285714285729","41.332857142857129","on",1
1,"High_curve","dry","76.494999999999976","34.005499999999998","0.32207345917783026","2.0778932850182597","9.3758333333333344","42.620000000000012","on",2
1,"High_curve","dry","73.347540983606578","33.997377049180322","0.33803232119732657","2.1808536851440423","9.2080327868852407","42.365573770491793","on",3
2.5,"High_curve","dry","160.02156862745102","34.002549019607841","0.15623004653601869","1.0079357841033463","9.003921568627451","39.158823529411777","on",1
